research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,indicator
% of households earning an income through employment,Cleaner/Cook,district,population_group,categorical,sector_respondent.cleaner_cook,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,I.T,district,population_group,categorical,sector_respondent.i_t,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Mining,district,population_group,categorical,sector_respondent.mining,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Real Estate,district,population_group,categorical,sector_respondent.real_estate,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Government,district,population_group,categorical,sector_respondent.government,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Import/Export,district,population_group,categorical,sector_respondent.import_export,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,NGO/UN,district,population_group,categorical,sector_respondent.ngo_un,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Mechanic,district,population_group,categorical,sector_respondent.mechanic,numerical,direct_reporting,Livelihoods
% of households earning an income through employment,Electrician,district,population_group,categorical,sector_respondent.electrician,numerical,direct_reporting,Livelihoods
% of HHs having access to an improved water source,% of HHs reporting their primary source of drinking water comes from an improved source,district,population_group,categorical,improved_drinking_water_source,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HHs having access to an improved water source,% of HHs reporting their primary source of drinking water comes from an improved source,district,population_group,categorical,unimproved_drinking_water_source,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HHs having access to an improved water source,% of HHs reporting their primary source of drinking water comes from an improved source,district,population_group,categorical,surface_water_drinking_source,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HHs having access to an improved water source,% of HHs reporting their primary source of drinking water comes from an improved source,district,population_group,categorical,improved_water_source,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,bottled_water,district,population_group,categorical,drinking_water_source.bottled_water,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,dug_well,district,population_group,categorical,drinking_water_source.dug_well,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,illegal_connection,district,population_group,categorical,drinking_water_source.illegal_connection,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,network_comm,district,population_group,categorical,drinking_water_source.network_comm,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,network_private,district,population_group,categorical,drinking_water_source.network_private,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,prot_well,district,population_group,categorical,drinking_water_source.prot_well,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,purchase_water,district,population_group,categorical,drinking_water_source.purchase_water,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,river_spring,district,population_group,categorical,drinking_water_source.river_spring,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,shop,district,population_group,categorical,drinking_water_source.shop,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,surface_water,district,population_group,categorical,drinking_water_source.surface_water,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,unprot_tank,district,population_group,categorical,drinking_water_source.unprot_tank,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,water_trucking,district,population_group,categorical,drinking_water_source.water_trucking,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,% of HHs using unimproved water sources as drinking water (either as primary of secondary source).,district,population_group,categorical,unprotected_contingency2,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of primary sources of water for drinking,"% of HHs that needs less than 30 minutes to fetch water (round trip by walking, queuing and time needed to fetch water)",district,population_group,categorical,waterpoint_time_recoded,numerical,direct_reporting,% HH with access to water collection point  ? 500m from the furthest household  
% of HH by type of secondary sources of water for drinking,network_private,district,population_group,categorical,secondary_water_source.network_private,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,network_comm,district,population_group,categorical,secondary_water_source.network_comm,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,dug_well,district,population_group,categorical,secondary_water_source.dug_well,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,prot_well,district,population_group,categorical,secondary_water_source.prot_well,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,rainwater,district,population_group,categorical,secondary_water_source.rainwater,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,river_spring,district,population_group,categorical,secondary_water_source.river_spring,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,bottled_water,district,population_group,categorical,secondary_water_source.bottled_water,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,purchase_water,district,population_group,categorical,secondary_water_source.purchase_water,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,water_trucking,district,population_group,categorical,secondary_water_source.water_trucking,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,illegal_connection,district,population_group,categorical,secondary_water_source.illegal_connection,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,unprot_tank,district,population_group,categorical,secondary_water_source.unprot_tank,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,unprot_well,district,population_group,categorical,secondary_water_source.unprot_well,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,unprot_spring,district,population_group,categorical,secondary_water_source.unprot_spring,numerical,direct_reporting,% of HH reporting using a secondary improved water source
% of HH by type of secondary sources of water for drinking,surface_water,district,population_group,categorical,secondary_water_source.surface_water,numerical,direct_reporting,% of HH reporting using a secondary improved water source
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",network_private,district,population_group,categorical,cooking_water_source.network_private,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",network_comm,district,population_group,categorical,cooking_water_source.network_comm,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",dug_well,district,population_group,categorical,cooking_water_source.dug_well,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",prot_well,district,population_group,categorical,cooking_water_source.prot_well,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",rainwater,district,population_group,categorical,cooking_water_source.rainwater,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",river_spring,district,population_group,categorical,cooking_water_source.river_spring,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",bottled_water,district,population_group,categorical,cooking_water_source.bottled_water,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",purchase_water,district,population_group,categorical,cooking_water_source.purchase_water,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",water_trucking,district,population_group,categorical,cooking_water_source.water_trucking,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",illegal_connection,district,population_group,categorical,cooking_water_source.illegal_connection,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",unprot_tank,district,population_group,categorical,cooking_water_source.unprot_tank,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",unprot_well,district,population_group,categorical,cooking_water_source.unprot_well,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",unprot_spring,district,population_group,categorical,cooking_water_source.unprot_spring,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% of HHs by type of water used for non-cooking purposes (cooking, bathing, washing and other domestic purposes)",surface_water,district,population_group,categorical,cooking_water_source.surface_water,numerical,direct_reporting,% of HH per type of water source used for non-drinking purposes
"% HHs having access to a sufficient quantity of water for drinking, bathing and washing and other domestic purposes.",% HHs reporting they are (very) satisfied with regards to access to water.,district,population_group,categorical,sufficient_access_water_recoded,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Waterpoints are too far,district,population_group,categorical,problems_access_reasons.waterpoints_toofar,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Waterpoints are difficult to reach (especially for people with disabilities),district,population_group,categorical,problems_access_reasons.waterpoints_difficult,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Fetching water is a dangerous activity,district,population_group,categorical,problems_access_reasons.water_dangerous,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access," Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to the waterpoints",district,population_group,categorical,problems_access_reasons.groups_noaccess,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Insufficient number of water points / waiting time at water points,district,population_group,categorical,problems_access_reasons.insufficient_number,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Water points are not functioning or close,district,population_group,categorical,problems_access_reasons.waterpoints_dysfunctional,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access,Water is not available at the market,district,population_group,categorical,problems_access_reasons.market_notavailable,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access,Water is too expensive,district,population_group,categorical,problems_access_reasons.water_expensive,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Not enough container to store the water ,district,population_group,categorical,problems_access_reasons.containers_notenough,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access, Don’t like taste / quality of water,district,population_group,categorical,problems_access_reasons.taste_quality_bad,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HH by type of problem faced related to water access,Problems accessing water,district,population_group,categorical,water_access_problems_exclnoproblems,numerical,direct_reporting,% HH with access to sufficient quantity of water for drinking and domestic purposes (% HH with less than 50 liters of water per person)
% of HHs reporting to treat the water before they drink it.,% of HHs reporting to treat the water before they drink it.,district,population_group,categorical,treat_water_recoded,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by reported reason for treating the water.,It is turbid (unclear with suspended particles),district,population_group,categorical,why_treat.turbid,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by reported reason for treating the water., It tastes unpleasant,district,population_group,categorical,why_treat.tastes_unpleasant,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by reported reason for treating the water., It smells unpleasant,district,population_group,categorical,why_treat.smells_unpleasant,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by reported reason for treating the water.,It is unsafe,district,population_group,categorical,why_treat.unsafe,numerical,direct_reporting,% of HHs reporting drinking water from improved sources being available
% of HH by type of treatment method used for treating the water., Let it stand and settle,district,population_group,categorical,treat_techniques.stand_settle,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Boil it,district,population_group,categorical,treat_techniques.boil,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water., Expose it to sunlight,district,population_group,categorical,treat_techniques.expose_sunlight,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Aquatabs/water purification tablets       ,district,population_group,categorical,treat_techniques.aquatabs,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Liquid chlorine     ,district,population_group,categorical,treat_techniques.chlorine_liquid,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Powder or granular chlorine  ,district,population_group,categorical,treat_techniques.chlorine_powder,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,PuR or Watermaker sachets  ,district,population_group,categorical,treat_techniques.sachets,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Biosand Filter   ,district,population_group,categorical,treat_techniques.biosand,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Ceramic Pot Filter   ,district,population_group,categorical,treat_techniques.ceramic,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Candle Filter/Bucket Filter  ,district,population_group,categorical,treat_techniques.candle,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Electric/solar Filter,district,population_group,categorical,treat_techniques.electric,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Multiple filter methods,district,population_group,categorical,treat_techniques.multiple,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HH by type of treatment method used for treating the water.,Buy water,district,population_group,categorical,treat_techniques.buy_water,numerical,direct_reporting,% of HH by type of treatment method used for treating the water
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,Rely on less preferred (unimproved/untreated) water sources for drinking water;,district,population_group,categorical,water_contingency.less_preferred,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,Rely on surface water for drinking water; ,district,population_group,categorical,water_contingency.rely_surface_water,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism , Rely on less preferred (unimproved/untreated) water sources for other purposes such as cooking and washing;,district,population_group,categorical,water_contingency.rely_less_preferred_source,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism , Fetch water at a source further than the usual one;,district,population_group,categorical,water_contingency.fetch_water,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism , Send children to fetch water;,district,population_group,categorical,water_contingency.children_fetch_water,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,Fetch water at a source that could be dangerous; ,district,population_group,categorical,water_contingency.fetch_water_dangerous,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism , Spend money (or credit) on water that should otherwise be used for other purposes; ,district,population_group,categorical,water_contingency.spend_money_water,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,Reduce drinking water consumption (drink less);,district,population_group,categorical,water_contingency.reduce_drinking_water,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,"Reduce water consumption for other purposes (bathe less, etc.);",district,population_group,categorical,water_contingency.reduce_water_consumption,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,% of HH using unprotected contingency methods,district,population_group,categorical,water_contingency_unprotected ,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism ,Contingency methods without none,district,population_group,categorical,water_contingency_exclnone,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to water - by types of coping mechanism 
% HHs using a sanitation facility - by type of sanitation facility used,% of HH using improved sanitation facility,district,population_group,categorical,improved_sanitation_facility,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,% of HH using improved sanitation facility,district,population_group,categorical,unimproved_sanitation_facility,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,% of HH using improved sanitation facility,district,population_group,categorical,open_defecation,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,bucket_toilet,district,population_group,categorical,sanitation_facility.bucket_toilet,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,flush,district,population_group,categorical,sanitation_facility.flush,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,hanging_toilet,district,population_group,categorical,sanitation_facility.hanging_toilet,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,latrine_slab,district,population_group,categorical,sanitation_facility.latrine_slab,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,latrine_without_slab,district,population_group,categorical,sanitation_facility.latrine_without_slab,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,open_hole,district,population_group,categorical,sanitation_facility.open_hole,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,pit_vip,district,population_group,categorical,sanitation_facility.pit_vip,numerical,direct_reporting,% HH with access to adequate latrines
% HHs using a sanitation facility - by type of sanitation facility used,plastic_bag,district,population_group,categorical,sanitation_facility.plastic_bag,numerical,direct_reporting,% HH with access to adequate latrines
% of HHs with access to functional sanitation facilities,% of HHs sharing sanitation facility with other households.,district,population_group,categorical,share_facility_recoded,numerical,direct_reporting,% HHs with access to functional sanitation facilities
% of HHs with access to functional sanitation facilities,HHs sharing sanitation facility - by number of HH per sanitation facility,district,population_group,categorical,total_share_facility,numerical,direct_reporting,% HH with access to adequate latrines
% of HHs per type of problem faced when accessing sanitation facilities.,Lack of sanitation facilities (latrines/toilets)/facilities too crowded,district,population_group,categorical,access_sanitation_problems.lack_of_facilities,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Sanitation facilities (latrines/toilets) are not functioning or full,district,population_group,categorical,access_sanitation_problems.not_functioning,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Sanitation facilities are unclean/unhygienic,district,population_group,categorical,access_sanitation_problems.unclean,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Sanitation facilities are not private (no locks/door/walls/lighting/etc),district,population_group,categorical,access_sanitation_problems.not_private,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Sanitation facilities (latrines/toilets) are not segregated between men and women,district,population_group,categorical,access_sanitation_problems.not_segregated,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Sanitation facilities (latrines/toilets) are too far,district,population_group,categorical,access_sanitation_problems.too_far,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Sanitation facilities (latrines/toilets) are difficult to reach (especially for people with disabilities),district,population_group,categorical,access_sanitation_problems.difficult_to_reach,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,Going to sanitation facilities (latrines/toilets) is dangerous,district,population_group,categorical,access_sanitation_problems.dangerous,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs per type of problem faced when accessing sanitation facilities.,"Some groups (children, women, elderly, ethnic minorities, etc) do not have access to sanitation facilities (latrines/toilets)",district,population_group,categorical,access_sanitation_problems.groups_no_access,numerical,direct_reporting,% of HHs per type of problem faced when accessing sanitation facilities
% of HHs with access to functional sanitation facilities,% of HHs reporting access to sanitation has been enough to satisfy their household's basic needs,district,population_group,categorical,sufficient_access_sanitation_recoded,numerical,direct_reporting,% of HHs reporting access to sanitation ahs been enough to satisfy their households basic needs
% of HHs engaging in coping mechanisms for lack of access to sanitation,% of HHs engaging in coping mechanisms for lack of access to sanitation,district,population_group,categorical,coping_mechanisms_family,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to sanitation - by types of coping mechanism 
% HH with access to private shower,% HH with access to private shower,district,population_group,categorical,household_shower_recoded,numerical,direct_reporting,% HH with access to private shower
"% of the HH members who were reported to have suffered from diarrhoea, cholora and/or skin/eye infection in the past two weeks","% of the HH members who were reported to have suffered from diarrhoea, cholora and/or skin/eye infection in the past two weeks",district,population_group,categorical,household_health_problems,numerical,direct_reporting,"% of the HH members who were reported to have suffered from diarrhoea, cholora and/or skin/eye infection in the past two weeks"
% of HHs with access to functional handwashing facilities,% of HHs with access to functional handwashing facilities,district,population_group,categorical,basic_handwashing_facility,numerical,direct_reporting,% of HH reporting that residents of the area have access to adequate handwashing facilities 
% of HHs with access to functional handwashing facilities,% of HHs with access to functional handwashing facilities,district,population_group,categorical,limited_handwashing_facility,numerical,direct_reporting,% of HH reporting that residents of the area have access to adequate handwashing facilities 
% of HHs with access to functional handwashing facilities,% of HHs with access to functional handwashing facilities,district,population_group,categorical,handwashing_access_recoded,numerical,direct_reporting,% of HH reporting that residents of the area have access to adequate handwashing facilities 
% of HHs with access to functional handwashing facilities,% of HHs soap available at the handwashing facility,district,population_group,categorical,household_soap_recoded,numerical,direct_reporting,% of HH reporting that residents of the area have access to adequate handwashing facilities 
% of HHs with access to functional handwashing facilities,"% of HH that have a handwashing facility on the premises or need less than 5 minutes to go to the handwashing facility, wash hands, and return (including queuing)",district,population_group,categorical,handwashing_less_5min,numerical,direct_reporting,"% of HH that needs less than 5 minutes to go to the handwashing facility, wash hands, and return (including queuing)"
% HH with access to female hygiene items,% of HHs reporting females in the HH have access to menstrual materials.,district,population_group,categorical,menstrual_hygiene_recoded,numerical,direct_reporting,% HH with access to female hygiene items
% HH with access to female hygiene items,% of HHs reporting females in the HH have access to menstrual materials.,district,population_group,categorical,menstrual_hygiene_excl,numerical,direct_reporting,% HH with access to female hygiene items
% HH with access to sufficient hygiene items,% HH with access to sufficient hygiene items,district,population_group,categorical,sufficient_hygiene_items_recoded,numerical,direct_reporting,% HH with access to hygiene items
% HH aware of appropriate hygiene promotion messages,% HH aware of appropriate hygiene promotion messages,district,population_group,categorical,hygiene_practise_all,numerical,direct_reporting,% HH aware of appropriate hygiene promotion messages
% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism ,"Rely on less preferred types of NFI (jerrycans, soap, etc.)",district,population_group,categorical,hygiene_coping_mechanisms.jerrycans_soap,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism ,"Buying NFI (jerrycans, soap, etc.) at a marketplace in a dangerous place",district,population_group,categorical,hygiene_coping_mechanisms.buying_nfi,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism ,"Spend money (or credit) on NFI (jerrycans, soap, etc.) that should otherwise be used for other purposes ",district,population_group,categorical,hygiene_coping_mechanisms.spend_money_nfi,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism 
% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism ,"Reduce NFI (jerrycans, soap, etc.) consumption for personal hygiene ",district,population_group,categorical,hygiene_coping_mechanisms.reduce_nfi_consumption,numerical,direct_reporting,% of HHs engaging in coping mechanisms for lack of access to hygiene - by types of coping mechanism 
% of HHs reporting sufficient waste removal services being available,"% of households disposing of their waste informally (onto street, burning, burying)",district,population_group,categorical,waste_disposal ,numerical,direct_reporting,% HH who confine their waste 
% of HHs reporting sufficient waste removal services being available,"% of households disposing of their waste informally (onto street, burning, burying)",district,population_group,categorical,waste_disposal_outside,numerical,direct_reporting,% HH who confine their waste 
