list_name,name,label::English,label::Arabic,Governorate
camp_name,Al_Alam_all,Al-Alam (all),?????,salah al-din
camp_name,Basateen_Al_Sheuokh,Basateen Al Sheuokh,?????? ??????,salah al-din
camp_name,Al_Sh'hamah,Al Sh'hamah,???????,salah al-din
camp_name,Karamah,Karamah,???????,salah al-din
camp_name,other,Other,????,salah al-din
camp_name,Ashti_IDP,Ashti IDP,???? ????????,al.sulaymaniyah
camp_name,Arbat_IDP,Arbat IDP,????,al.sulaymaniyah
camp_name,Barzinja,Barzinja,??????,al.sulaymaniyah
camp_name,Surdesh,Surdesh,????,al.sulaymaniyah
camp_name,Tazade,Tazade,??????,al.sulaymaniyah
,,,,
camp_name_aaf,aaf33,Al Abrar (AAF33),??????? (AAF33),
camp_name_aaf,aaf27,Al Anbar (AAF27),??????? (AAF27),
camp_name_aaf,aaf23,Al Bashayir camp (AAF23),???? ??????? (AAF23),
camp_name_aaf,aaf17,Al Fallujah 1 (AAF17),??????? 1 (AAF17),
camp_name_aaf,aaf25,Al Najat (AAF25),?????? (AAF25),
camp_name_aaf,aaf31,Al Rayan (AAF31),?????? (AAF31),
camp_name_aaf,aaf32,Al Shahuda al Ashwaii (AAF32),??????? ??????? (AAF32),
camp_name_aaf,aaf10,Al-Abaydh camp (AAF10),???? ?????? (AAF10),
camp_name_aaf,aaf05,Al-Amal Al-manshood 1 MoDM camp (AAF05),???? ????? ??????? 1 ?????? ????????? (AAF05),
camp_name_aaf,aaf04,Al-Hijaj camp (AAF04),???? ?????? (AAF04),
camp_name_aaf,aaf03,Al-Ikhowa (AAF03),???? ?????? (AAF03(,
camp_name_aaf,aaf19,Al-Mateen (AAF19),???? ?????? (AAF19),
camp_name_aaf,aaf01,Al-Nasir Camp (AAF01),???? ????? (AAF01),
camp_name_aaf,aaf08,Al-Sa'ada camp (AAF08),???? ??????? (AAF08),
camp_name_aaf,aaf02,Al-Salam Camp (AAF02),???? ?????? (AAF02),
camp_name_aaf,aaf24,Al-Simood / Ssumud (AAF24),???? ?????? (AAF24),
camp_name_aaf,aaf30,Alta'aki (AAF30),?????? (AAF30),
camp_name_aaf,aaf26,Al-Tahadi (AAF26),???????(AAF26),
camp_name_aaf,aaf18,Al-Tahrir (Al Khanjar) (AAF18),??????? ( ??????) (AAF18),
camp_name_aaf,aaf12,Amal Manshood 2 (AAF12),????? ??????? (AAF12),
camp_name_aaf,aaf07,Amriyat Al-Fallujah semi-perminant / UNHCR Halls (Al Qa'at) (AAF07), ?????? ??????? ????? ???????? ( ???????) (AAF07),
camp_name_aaf,aaf15,Baghdad (AAF15),????? (AAF15),
camp_name_aaf,aaf11,Caravan 1 camp (AAF11),???? ????????? 1 (AAF11(,
camp_name_aaf,aaf13,Caravans 2 (AAF13),???? ????????? 2 (AAF13),
camp_name_aaf,aaf21,Fallujah 10 (AAF21),??????? 10 (AAF21),
camp_name_aaf,aaf20,Fallujah 9 (AAF20),??????? 9 (AAF20),
camp_name_aaf,aaf14,Iraq Camp (AAF14),???? ?????? (AAF14),
camp_name_aaf,aaf16,Kiram Al Fallujah Camp (AAF16),???? ???? ??????? (AAF16),
camp_name_aaf,aaf09,Sabe Sanabul camp (AAF09),??? ????? (AAf09(,
camp_name_aaf,aaf06,Um Alqura (AAF6),?? ????? (AAF6),
camp_name_aaf,aaf22,Zoba'a camp (AAF22),???? ??????? (AAF22),
,,,,
camp_name_htc,htc_alhijra,Al-Hijra - HTC,??????- HTC,
camp_name_htc,htc_alsmuod,Al-Smuod Camp - HTC,???? ?????? - HTC,
camp_name_htc,htc_fallujah1,Fallujah camp 1 - HTC,???? ??????? 1 - HTC,
camp_name_htc,htc_fallujah4,Fallujah camp 4 - HTC,???? ??????? 4 - HTC,
camp_name_htc,htc_fallujah5,Fallujah camp 5 - HTC,???? ??????? 5 - HTC,
camp_name_htc,htc_fallujah6,Fallujah camp 6 - HTC,???? ??????? 6 - HTC,
camp_name_htc,htc_fallujah7,Fallujah camp 7 - HTC,???? ??????? 7 - HTC,
camp_name_htc,htc_fallujah8,Fallujah camp 8 - HTC,???? ??????? 8 - HTC,
,,,,
camp_name_jadah,jadah_1_2,Qayyarah-Jad'ah 1-2,???? ??????? ( ????) 1-2,
camp_name_jadah,jadah_3,Qayyarah-Jad'ah 3,???? ??????? ( ????) 3,
camp_name_jadah,jadah_4,Qayyarah-Jad'ah 4,???? ??????? ( ????) 4,
camp_name_jadah,jadah_5,Qayyarah-Jad'ah 5,???? ??????? ( ????) 5,
camp_name_jadah,jadah_6,Qayyarah-Jad'ah 6,???? ??????? ( ????) 6,
,,,,
district_wash,al.falluja,Al-Falluja,???????,al.anbar
district_wash,al.kaim,Al-Kaim,??????,al.anbar
district_wash,al.ramadi,Al-Ramadi,???????,al.anbar
district_wash,al.rutba,Al-Rutba,??????,al.anbar
district_wash,ana,Ana,????,al.anbar
district_wash,haditha,Haditha,?????,al.anbar
district_wash,heet,Heet,???,al.anbar
district_wash,abu.al.khaseeb,Abu Al-Khaseeb,??? ??????,al.basrah
district_wash,al.basrah,al.basrah,??????,al.basrah
district_wash,al.faw,Al-Faw,?????,al.basrah
district_wash,al.midaina,Al-Midaina,???????,al.basrah
district_wash,al.qurna,Al-Qurna,??????,al.basrah
district_wash,al.zubair,Al-Zubair,??????,al.basrah
district_wash,shat.al.arab,Shat Al-Arab,?? ?????,al.basrah
district_wash,al.khidhir,Al-Khidhir,??????,al.muthanna
district_wash,al.rumaitha,Al-Rumaitha,???????,al.muthanna
district_wash,al.salman,Al-Salman,???????,al.muthanna
district_wash,al.samawa,Al-Samawa,???????,al.muthanna
district_wash,al.kufa,Al-Kufa,??????,al.najaf
district_wash,al.manathera,Al-Manathera,????????,al.najaf
district_wash,al.najaf,al.najaf,?????,al.najaf
district_wash,afaq,Afaq,???,al.qadissiya
district_wash,al.diwaniya,Al-Diwaniya,?????????,al.qadissiya
district_wash,al.hamza,Al-Hamza,??????,al.qadissiya
district_wash,al.shamiya,Al-Shamiya,???????,al.qadissiya
district_wash,al.sulaymaniyah,al.sulaymaniyah,??????????,al.sulaymaniyah
district_wash,chamchamal,Chamchamal,??????,al.sulaymaniyah
district_wash,derbendikhan,Derbendikhan,?????????,al.sulaymaniyah
district_wash,dokan,Dokan,?????,al.sulaymaniyah
district_wash,halabcha,Halabcha,?????,al.sulaymaniyah
district_wash,kalar,Kalar,????,al.sulaymaniyah
district_wash,panjwin,Panjwin,???????,al.sulaymaniyah
district_wash,pshdar,Pshdar,?????,al.sulaymaniyah
district_wash,rania,Rania,?????,al.sulaymaniyah
district_wash,sharbazher,Sharbazher,???????,al.sulaymaniyah
district_wash,al.hashimiya,Al-Hashimiya,????????,babil
district_wash,al.hilla,Al-Hilla,?????,babil
district_wash,al.mahaweel,Al-Mahaweel,????????,babil
district_wash,al.mussyab,Al-Mussyab,??????,babil
district_wash,al.adhamiya,Al-Adhamiya,????????,baghdad
district_wash,al.kadhmiyah,Al-Kadhmiyah,????????,baghdad
district_wash,al.karkh,Al-Karkh,?????,baghdad
district_wash,al.mada.in,Al-Mada'in,???????,baghdad
district_wash,al.mahmoudiya,Al-Mahmoudiya,?????????,baghdad
district_wash,al.risafa,Al-Risafa,???????,baghdad
district_wash,al.thawra,Al-Thawra,??????,baghdad
district_wash,al.khalis,Al-Khalis,??????,diyala
district_wash,al.muqdadiya,Al-Muqdadiya,?????????,diyala
district_wash,baladruz,Baladruz,??????,diyala
district_wash,baquba,Baquba,??????,diyala
district_wash,khanaqin,Khanaqin,??????,diyala
district_wash,kifri,Kifri,????,diyala
district_wash,al.amadiya,Al-Amadiya,???? / ????????,duhok
district_wash,duhok,Duhok,????,duhok
district_wash,sumail,Sumail,?????,duhok
district_wash,zakho,Zakho,????,duhok
district_wash,al.zibar,Al-Zibar,???????,erbil
district_wash,erbil,Erbil,?????,erbil
district_wash,koysinjaq,Koysinjaq,???????,erbil
district_wash,makhmour,Makhmour,?????,erbil
district_wash,rawanduz,Rawanduz,??????,erbil
district_wash,shaqlawa,Shaqlawa,??????,erbil
district_wash,ain.al.tamur,Ain Al-Tamur,??? ?????,kerbala
district_wash,al.hindiya,Al-Hindiya,???????,kerbala
district_wash,kerbela,Kerbela,??????,kerbala
district_wash,al.hawiga,Al-Hawiga,???????,kirkuk
district_wash,daquq,Daquq,?????,kirkuk
district_wash,dibis,Dibis,???,kirkuk
district_wash,kirkuk,Kirkuk,?????,kirkuk
district_wash,al.amara,Al-Amara,???????,maysan
district_wash,ali.al.gharbi,Ali Al-Gharbi,??? ??????,maysan
district_wash,al.kahla,Al-Kahla,??????,maysan
district_wash,al.maimouna,Al-Maimouna,????????,maysan
district_wash,al.mejar.al.kabir,Al-Mejar Al-Kabir,????? ??????,maysan
district_wash,qalat.saleh,Qalat Saleh,???? ????,maysan
district_wash,al.baaj,Al-Baaj,??????,ninewa
district_wash,al.hamdaniya,Al-Hamdaniya,?????????,ninewa
district_wash,al.hatra,Al-Hatra,?????,ninewa
district_wash,al.mosul,Al-Mosul,??????,ninewa
district_wash,al.shikhan,Al-Shikhan,???????,ninewa
district_wash,aqra,Aqra,????,ninewa
district_wash,sinjar,Sinjar,?????,ninewa
district_wash,telafar,Telafar,?????,ninewa
district_wash,tilkaef,Tilkaef,?????,ninewa
district_wash,al.daur,Al-Daur,?????,salah al-din
district_wash,al.shirqat,Al-Shirqat,???????,salah al-din
district_wash,balad,Balad,???  ,salah al-din
district_wash,beygee,Beygee,????,salah al-din
district_wash,samarra,Samarra,??????,salah al-din
district_wash,tikrit,Tikrit,?????,salah al-din
district_wash,tooz.khurmato,Tooz Khurmato,??????????,salah al-din
district_wash,al.chibayish,Al-Chibayish,???????,thi.qar
district_wash,al.nasiriya,Al-Nasiriya,????????,thi.qar
district_wash,al.rifai,Al-Rifai,???????,thi.qar
district_wash,al.shatra,Al-Shatra,??????,thi.qar
district_wash,suq.al.shoyokh,Suq Al-Shoyokh,??? ??????,thi.qar
district_wash,al.hai,Al-Hai,????,wassit
district_wash,al.kut,Al-Kut,?????,wassit
district_wash,al.namaniya,Al-Namaniya,?????????,wassit
district_wash,al.suwaira,Al-Suwaira,???????,wassit
district_wash,badra,Badra,????,wassit
,,,,
yes_no,yes,Yes,???,
yes_no,no,No,??,
,,,,
sex,male,Male,???,
sex,female,Female,????,
,,,,
water_source_one,network_private,Piped water into compound,???? ?????? ?????? ?? ??????,
water_source_one,network_comm,Piped water connected to public tap,?????? ?????? ????? ???????? ?????,
water_source_one,dug_well,Borehole,??? ????,
water_source_one,prot_well,Protected well,??? ????,
water_source_one,rainwater,Protected rainwater tank,???? ???? ??????? ??????,
water_source_one,river_spring,Protected spring,??? ???? ????,
water_source_one,bottled_water,Bottled water,???? ?????,
water_source_one,purchase_water,Purchase water,???? ??????,
water_source_one,water_trucking,Water Trucking,??? ?????? ????????? ???????,
water_source_one,illegal_connection,Illegal connection to piped network,????? ??? ?????? ????? ??????,
water_source_one,unprot_tank,Unprotected rainwater tank,???? ???? ??????? ????? ????,
water_source_one,unprot_well,Unprotected well,??? ??? ???? (????? ???????? ?????????),
water_source_one,unprot_spring,Unprotected spring,????? ??? ????,
water_source_one,surface_water,"Surface water without pre-treatment (river, dam, lake, pond, stream, canal)",?????? ??????? ??? ?????? ????? (????? ? ???? ? ??????? ? ?????? ? ???? ? ??????),
water_source_one,other,Other,???? ,
,,,,
water_source_two,network_private,Piped water into compound,???? ?????? ?????? ?? ??????,
water_source_two,network_comm,Piped water connected to public tap,?????? ?????? ????? ???????? ?????,
water_source_two,dug_well,Borehole,??? ????,
water_source_two,prot_well,Protected well,??? ????,
water_source_two,rainwater,Protected rainwater tank,???? ???? ??????? ??????,
water_source_two,river_spring,Protected spring,??? ???? ????,
water_source_two,bottled_water,Bottled water,???? ?????,
water_source_two,purchase_water,Purchase water,???? ??????,
water_source_two,water_trucking,Water Trucking,??? ?????? ????????? ???????,
water_source_two,illegal_connection,Illegal connection to piped network,????? ??? ?????? ????? ??????,
water_source_two,unprot_tank,Unprotected rainwater tank,???? ???? ??????? ????? ????,
water_source_two,unprot_well,Unprotected well,??? ??? ???? (????? ???????? ?????????),
water_source_two,unprot_spring,Unprotected spring,????? ??? ????,
water_source_two,surface_water,"Surface water without pre-treatment (river, dam, lake, pond, stream, canal)",?????? ??????? ??? ?????? ????? (????? ? ???? ? ??????? ? ?????? ? ???? ? ??????),
water_source_two,no_other_source,No other source,?? ???? ???? ???,
water_source_two,other,Other,???? ,
,,,,
sufficient,morethan_sufficient,More than sufficient,???? ?? ????,
sufficient,sufficient,Sufficient,???? ??? ??????,
sufficient,justenough_barelyenough,Just enough/barely enough,?????? ????,
sufficient,insufficient,Insufficient,?? ??? ??????,
sufficient,totally_insufficient,Totally insufficient,?? ??? ?????? ??????,
,,,,
problems_access,waterpoints_toofar, Waterpoints are too far,???? ?????? ????? ???,
problems_access,waterpoints_difficult, Waterpoints are difficult to reach (especially for people with disabilities),?? ????? ?????? ??? ???? ?????? ( ?????? ??????? ??? ???????),
problems_access,water_dangerous, Fetching water is a dangerous activity,??? ?????? ?? ???? ????,
problems_access,groups_noaccess," Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to the waterpoints",  ??? ????????? (??????? ? ?????? ? ???? ???? ? ???????? ??????? ? ???) ?? ?????? ?????? ??? ???? ??????,
problems_access,insufficient_number, Insufficient number of water points / waiting time at water points,  ??? ????? ??? ???? ?????? / ??? ???????? ??? ???? ??????,
problems_access,waterpoints_dysfunctional, Water points are not functioning or close, ???? ?????? ?? ???? ?? ?????,
problems_access,market_notavailable,Water is not available at the market,?????? ??? ?????? ?? ?????,
problems_access,water_expensive,Water is too expensive,????? ???? ???,
problems_access,containers_notenough, Not enough container to store the water ,?????? ??? ???? ?????? ??????,
problems_access,taste_quality_bad, Don’t like taste / quality of water,??? ?????? ?? ??????,
problems_access,no_problems,No problems,?? ???? ?????,
problems_access,other, Other (please list),  ???? (???? ?????),
problems_access,dont_know, Don’t know,?? ????,
,,,,
water_needs,drinking,Drinking,?????,
water_needs,cooking,Cooking,?????,
water_needs,personal_hygiene,Personal hygiene (washing or bathing),??????? ??????? ( ?????? ?? ?????????),
water_needs,domestic_purposes,"Other domestic purposes (cleaning house, floor, etc.)",??????? ???????? ?????? ( ??? ?????? ?? ??????),
water_needs,none,None of the previous,?? ???? ???? ??? ???,
water_needs,dont_know, Don't know,?? ????,
,,,,
water_contingency,less_preferred,Rely on less preferred (unimproved/untreated) water sources for drinking water;,???????? ??? ????? ?????? ????? ??????? (??? ??????? / ??? ?????????) ?????,
water_contingency,rely_surface_water,Rely on surface water for drinking water; ,???????? ??? ?????? ??????? ?????,
water_contingency,rely_less_preferred_source, Rely on less preferred (unimproved/untreated) water sources for other purposes such as cooking and washing;,  ???????? ??? ????? ?????? ????? ??????? (??? ??????? / ??? ????????) ?????? ???? ??? ????? ??????? ,
water_contingency,rely_surface_water_other, Rely on surface water for other purposes such as cooking and washing;,  ???????? ??? ?????? ??????? ?????? ???? ??? ????? ??????? ,
water_contingency,fetch_water, Fetch water at a source further than the usual one;,  ??? ????? ?? ???? ???? ?? ???????,
water_contingency,children_fetch_water, Send children to fetch water;,  ????? ??????? ???? ??????,
water_contingency,fetch_water_dangerous,Fetch water at a source that could be dangerous; ,????? ????? ?? ???? ?? ???? ??????,
water_contingency,spend_money_water, Spend money (or credit) on water that should otherwise be used for other purposes; ,????? ????? (?? ??????? ) ???? ????? ?? ???? ?????? ???? ??? ?????,
water_contingency,reduce_drinking_water,Reduce drinking water consumption (drink less);,????? ??????? ???? ????? ,
water_contingency,reduce_water_consumption,"Reduce water consumption for other purposes (bathe less, etc.);",????? ??????? ?????? ?????? ???? (????????? ??? ? ??? ??? ???) ,
water_contingency,none,None of the above,????? ??? ???,
water_contingency,other, Other (please list);  ,  ???? (???? ?????),
water_contingency,don.U.0092.t_know,Don’t know,?? ????,
,,,,
waterpoint_time,water_on_premises, Water on premises/ Not applicable,?? ?????? ?????? ?????? ?????? ?? ???? ??????? ?? ?? ?????? ?? ??????,
waterpoint_time,lessthan_5,Less than 5 min to fetch and return     ,??? ?? 5 ????? ???? ?????? ???????,
waterpoint_time,between5_15, Between 5 and 15 min to fetch and return   ,  ??? 5 ? 15 ????? ???? ?????? ???????,
waterpoint_time,between16_30, Between 16 and 30 min to fetch and return,  ??? 16 ? 30 ????? ???? ?????? ???????,
waterpoint_time,morethan_30," More than 30 min, up to 1 hour",  ???? ?? 30 ??????  ??? 1 ????,
waterpoint_time,morethan_1hour," More than 1 hour, up to 2 hours",  ???? ?? 1 ???? ? ??? ??? 2 ????,
waterpoint_time,don.U.0092.t_know, Do not know,  ?? ????,
,,7. More than 2 hours,,
waterfetching_problem,distance,Distance is a problem, ??????? ?????,
waterfetching_problem,queuing,Queuing time is a problem,??? ???????? ?? ?????,
waterfetching_problem,distance_queuing,Both distance and queuing time are a problem,?? ?? ??????? ???? ???????? ?????? ?????,
waterfetching_problem,not_safe,Do not feel safe (mainly women and girls), ??? ?????? ??????? (????? ?????? ????????),
waterfetching_problem,no_problem,No problem, ??  ???? ?????,
,,7. More than 2 hours,,
problems_associated,reduce_time,Reduces time usually spent on other tasks,???? ?? ????? ???? ????? ???? ?? ???? ????,
problems_associated,prevent_children,Prevents children from attending classes,???? ??????? ?? ???? ?????? ????????,
problems_associated,reduces_amount,Reduces amount of water accessible to household,???? ?? ???? ?????? ??????? ????? ????????,
problems_associated,combine_sources,"Forces household to complement with closer, less desirable water sources",???? ????? ??? ?? ?????? ?????? ???? ???? ???? ?????????,
problems_associated,other,Other (please specify,??? ??? (???? ???????,
,,7. More than 2 hours,,
treat_water,always,"Yes, always treat it before drinking ",???? ?????? ??? ????? ?????? ??? ?????,
treat_water,sometimes,"Yes, sometimes treat it before drinking ",???? ?????? ????? ?????? ??? ?????,
treat_water,never," No, never treat it before drinking because it is not necessary",???? ?? ????? ?????? ??? ????? ?????? ??? ??? ??? ???????,
treat_water,don.U.0092.t_know,Don’t know ,?? ????,
,,7. More than 2 hours,,
treat_techniques,stand_settle, Let it stand and settle,??? ????? ?????? ?? ?????,
treat_techniques,boil,Boil it,??? ??????,
treat_techniques,expose_sunlight, Expose it to sunlight,????? ?????? ????? ?????,
treat_techniques,aquatabs,Aquatabs/water purification tablets       ,??? ????? ?????? ??????,
treat_techniques,chlorine_liquid,Liquid chlorine     ,?????? ??????,
treat_techniques,chlorine_powder,Powder or granular chlorine  ,????? ?? ?????? ??????,
treat_techniques,sachets,PuR or Watermaker sachets  ,????? ????? ???? ????? ??????,
treat_techniques,biosand,Biosand Filter   ,???? ?????? ??????,
treat_techniques,ceramic,Ceramic Pot Filter   ,???? ???? ?????????,
treat_techniques,candle,Candle Filter/Bucket Filter  ,???? ????? (?????),
treat_techniques,electric,Electric/solar Filter,???? ????? ????????? ?? ???? ??? ?????? ???????,
treat_techniques,multiple,Multiple filter methods,??? ????? ??????,
treat_techniques,buy_water,Buy water,???? ?????,
treat_techniques,other, Other,????,
treat_techniques,none,None of the above,????? ??? ???,
treat_techniques,don.U.0092.t_know, Don’t know,?? ????,
,,7. More than 2 hours,,
why_treat,turbid,It is turbid (unclear with suspended particles),????? ???? (??? ???? ?? ???? ???????? ???????),
why_treat,tastes_unpleasant, It tastes unpleasant,  ???? ??? ???,
why_treat,smells_unpleasant, It smells unpleasant,  ????? ??? ????? ?????,
why_treat,unsafe,It is unsafe,??? ??? ???,
why_treat,other, Other,????,
why_treat,don.U.0092.t_know, Don't know,?? ????,
,,7. More than 2 hours,7. ???? ?? 2 ????,
satisfied,v_satisfied,Very satisfied,???? ???,
satisfied,satisifed,Satisfied ,???,
satisfied,unsatisfied,Unsatisfied ,??? ????,
satisfied,v_unsatisfied,Very unsatisfied,??? ??? ???,
satisfied,dont_know,Don’t know,?? ????,
,,7. More than 2 hours,7. ???? ?? 2 ????,
sanitation_facility,flush, Flush or pour/flush toilet       ,????? ??????? ?? (?????) ??? ????? ?? ?? ????? ?????,
sanitation_facility,latrine_without_slab, Pit latrine without a slab or platform    ,???? ????? ???? ????? ??????? ?? ????,
sanitation_facility,latrine_slab, Pit latrine with a slab and platform  ,???? ????? ?? ????? ??????? ?? ????,
sanitation_facility,open_hole,Open hole  ,???? ???????? ??????,
sanitation_facility,pit_vip,Pit VIP toilet      ,????? ?? ???? ?????? ?????,
sanitation_facility,bucket_toilet, Bucket toilet ,????? ????? (?????),
sanitation_facility,plastic_bag,Plastic bag,??? ????????,
sanitation_facility,hanging_toilet,Hanging toilet/latrine,????? ????? ,
sanitation_facility,none_of," None of the above, open defecation          ",  ?? ??? ??? ??? ? ?????? ?? ??????,
sanitation_facility,other,Other (specify)      ,??? ??? (???),
sanitation_facility,dont_know,Don't know,?? ????,
,,7. More than 2 hours,,
responsible,women,Women,??????,
responsible,girls,Girls,???????,
responsible,boys,Boys ,???????,
responsible,men,Men,??????,
responsible,whoever,"Whoever uses it, cleans it",?? ???????? ? ???? ???????,
responsible,nobody,No one,?? ???,
responsible,muncipality,Muncipality ,???????,
,,7. More than 2 hours,,
sanitation_problems,lack_of_facilities,Lack of sanitation facilities (latrines/toilets)/facilities too crowded,??? ???? ????? ????? ????? (????????) / ????? ?????? ??????,
sanitation_problems,not_functioning,Sanitation facilities (latrines/toilets) are not functioning or full,????? ????? ????? (???????? ) ?? ???? ?? ??????,
sanitation_problems,unclean,Sanitation facilities are unclean/unhygienic,????? ????? ????? ??? ????? / ??? ????,
sanitation_problems,not_private,Sanitation facilities are not private (no locks/door/walls/lighting/etc),????? ????? ????? ????? ??? ???????? (?? ???? ????? / ??? / ????? / ????? / ???),
sanitation_problems,not_segregated,Sanitation facilities (latrines/toilets) are not segregated between men and women,????? ????? ????? (????????) ???? ?????? ??? ?????? ???????,
sanitation_problems,too_far,Sanitation facilities (latrines/toilets) are too far,????? ????? ????? (????????) ????? ????,
sanitation_problems,difficult_to_reach,Sanitation facilities (latrines/toilets) are difficult to reach (especially for people with disabilities),???? ?????? ??? ????? ????? ????? (????????) (???? ??????? ??????? ??? ???????),
sanitation_problems,dangerous,Going to sanitation facilities (latrines/toilets) is dangerous,?????? ??? ????? ????? ????? (????????) ??? ????,
sanitation_problems,groups_no_access,"Some groups (children, women, elderly, ethnic minorities, etc) do not have access to sanitation facilities (latrines/toilets)",??? ????????? (??????? ? ?????? ? ???? ???? ? ???????? ??????? ? ???) ?? ?????? ?????? ??? ????? ????? ????? (????????),
sanitation_problems,none,None,?? ???,
sanitation_problems,other,"Other, please specify",??? ??? (???? ???????,
,,7. More than 2 hours,,
latrine_facility,flush,"A functiong flushing system (water to flush with, if applicable)",???? ??? ?????? (????? ????? ?? ??????? ? ?? ????),
latrine_facility,drainage,A proper drainage (e.g. no standing/stagnant water in the latrine),????? ????? (????: ??? ?? ??? ?????  ??? ?????? ??????),
latrine_facility,segregation,A sufficient segragation between men and women,????? ??????? ????? ???????,
latrine_facility,privacy,Sufficient privacy partitions,????? ?????? ?????,
latrine_facility,structure,Proper walls/doors/windows (e.g. no broken doors/walls/windows),??????? / ??????? / ??????? ???????? (??? ???? ?????? ????? ??? ?????? / ????? / ????? ??? ??????),
latrine_facility,lock,An adequate lock,??? ?????,
latrine_facility,lighting,Sufficient lighting,????? ?????,
latrine_facility,clean,It is clean enough,????? ??? ??? ???????,
latrine_facility,convenient,It is located in a covenient area of the area (the HH has no privacy or dignity concerns),??? ?? ????? ????? ?? ?????? (?? ???? ??? ?????? ?? ????? ????? ????????? ?? ???????),
latrine_facility,accessible,The latrine is accessible for persons with disabilities,??????? ???? ??????? ??? ???????,
latrine_facility,none,None of the above,?? ??? ??????,
,,7. More than 2 hours,,
