list_name,name,english,filter
district_wash,ali.al.gharbi,Ali Al-Gharbi,maysan
district_wash,al.kahla,Al-Kahla,maysan
district_wash,al.maimouna,Al-Maimouna,maysan
district_wash,al.mejar.al.kabir,Al-Mejar Al-Kabir,maysan
district_wash,qalat.saleh,Qalat Saleh,maysan
district_wash,al.baaj,Al-Baaj,ninewa
district_wash,al.hamdaniya,Al-Hamdaniya,ninewa
district_wash,al.hatra,Al-Hatra,ninewa
district_wash,al.mosul,Al-Mosul,ninewa
district_wash,al.shikhan,Al-Shikhan,ninewa
district_wash,aqra,Aqra,ninewa
district_wash,sinjar,Sinjar,ninewa
district_wash,telafar,Telafar,ninewa
district_wash,tilkaef,Tilkaef,ninewa
district_wash,al.daur,Al-Daur,salah al-din
district_wash,al.shirqat,Al-Shirqat,salah al-din
district_wash,balad,Balad,salah al-din
district_wash,beygee,Beygee,salah al-din
district_wash,samarra,Samarra,salah al-din
district_wash,tikrit,Tikrit,salah al-din
district_wash,tooz.khurmato,Tooz Khurmato,salah al-din
district_wash,al.chibayish,Al-Chibayish,thi.qar
district_wash,al.nasiriya,Al-Nasiriya,thi.qar
district_wash,al.rifai,Al-Rifai,thi.qar
district_wash,al.shatra,Al-Shatra,thi.qar
district_wash,suq.al.shoyokh,Suq Al-Shoyokh,thi.qar
district_wash,al.hai,Al-Hai,wassit
district_wash,al.kut,Al-Kut,wassit
district_wash,al.namaniya,Al-Namaniya,wassit
district_wash,al.suwaira,Al-Suwaira,wassit
district_wash,badra,Badra,wassit
